Date;heating
2/9/2021 10:55:19 AM;on
2/9/2021 10:55:29 AM;off
2/9/2021 10:59:47 AM;on
2/9/2021 10:59:56 AM;off
2/10/2021 2:20:09 PM;on
2/10/2021 2:20:19 PM;off
2/12/2021 3:37:36 PM;on
2/12/2021 3:37:46 PM;off
2/12/2021 3:38:57 PM;on
2/12/2021 3:39:07 PM;off
2/12/2021 4:07:57 PM;on
2/12/2021 4:08:07 PM;off
3/19/2021 5:18:53 PM;on
3/19/2021 5:19:03 PM;off
3/19/2021 5:20:09 PM;on
3/19/2021 5:20:19 PM;off
3/19/2021 5:20:55 PM;on
3/19/2021 5:21:05 PM;off
3/19/2021 5:22:33 PM;on
3/19/2021 5:22:43 PM;off
3/19/2021 5:25:18 PM;on
3/19/2021 5:25:28 PM;off
3/24/2021 6:00:43 PM;on
3/24/2021 6:00:53 PM;off
3/24/2021 6:17:30 PM;on
3/24/2021 6:17:40 PM;off
3/24/2021 6:25:50 PM;on
3/24/2021 6:26:00 PM;off
3/24/2021 6:27:52 PM;on
3/24/2021 6:28:02 PM;off
3/24/2021 6:31:04 PM;on
3/24/2021 6:31:14 PM;off
3/26/2021 6:25:37 PM;on
3/26/2021 6:25:47 PM;off
3/26/2021 6:26:50 PM;on
3/26/2021 6:27:00 PM;off
3/26/2021 6:28:32 PM;on
3/26/2021 6:28:42 PM;off
3/26/2021 6:29:24 PM;on
3/26/2021 6:29:34 PM;off
3/26/2021 6:30:10 PM;on
3/26/2021 6:30:20 PM;off
3/26/2021 6:34:12 PM;on
3/26/2021 6:34:22 PM;off
3/26/2021 6:54:22 PM;on
3/26/2021 6:54:32 PM;off
4/16/2021 7:07:18 PM;on
4/16/2021 7:07:28 PM;off
4/16/2021 7:08:04 PM;on
4/16/2021 7:08:14 PM;off
4/16/2021 7:08:49 PM;on
4/16/2021 7:08:59 PM;off
4/16/2021 7:09:36 PM;on
4/16/2021 7:09:46 PM;off
4/16/2021 7:10:53 PM;on
4/16/2021 7:11:03 PM;off
4/16/2021 7:11:41 PM;on
4/16/2021 7:11:51 PM;off
4/16/2021 7:12:28 PM;on
4/16/2021 7:12:38 PM;off
4/16/2021 7:25:23 PM;on
4/16/2021 7:25:33 PM;off
4/26/2021 6:12:02 PM;on
4/26/2021 6:12:12 PM;off
4/26/2021 6:15:48 PM;on
4/26/2021 6:15:58 PM;off
