Date;valve
2/9/2021 10:47:42 AM;open for 20ms
2/9/2021 10:48:11 AM;open for 20ms
2/9/2021 10:48:40 AM;open for 20ms
2/9/2021 10:49:08 AM;open for 20ms
2/9/2021 10:49:37 AM;open for 20ms
2/9/2021 10:50:06 AM;open for 20ms
2/9/2021 10:50:35 AM;open for 20ms
2/9/2021 11:30:04 AM;open for 20ms
2/9/2021 12:01:42 PM;open for 20ms
2/9/2021 12:40:03 PM;open for 20ms
2/9/2021 1:11:19 PM;open for 20ms
2/9/2021 2:13:51 PM;open for 20ms
2/9/2021 2:14:20 PM;open for 20ms
2/9/2021 2:14:48 PM;open for 20ms
2/9/2021 2:15:17 PM;open for 20ms
2/9/2021 2:15:46 PM;open for 20ms
2/9/2021 2:16:15 PM;open for 20ms
2/9/2021 2:16:44 PM;open for 20ms
2/9/2021 2:17:13 PM;open for 20ms
2/9/2021 2:17:41 PM;open for 20ms
2/9/2021 2:18:10 PM;open for 20ms
2/9/2021 2:31:04 PM;open for 20ms
2/9/2021 2:57:50 PM;open for 20ms
2/9/2021 3:26:57 PM;open for 20ms
2/9/2021 3:58:06 PM;open for 20ms
2/9/2021 4:27:52 PM;open for 20ms
2/9/2021 5:17:07 PM;open for 20ms
2/9/2021 5:17:36 PM;open for 20ms
2/9/2021 5:18:05 PM;open for 20ms
2/9/2021 5:18:34 PM;open for 20ms
2/9/2021 5:19:03 PM;open for 20ms
2/9/2021 5:19:31 PM;open for 20ms
2/9/2021 5:20:00 PM;open for 20ms
2/9/2021 5:20:29 PM;open for 20ms
2/9/2021 5:20:58 PM;open for 20ms
2/9/2021 5:21:27 PM;open for 20ms
2/9/2021 5:34:42 PM;open for 20ms
2/9/2021 6:04:57 PM;open for 20ms
2/9/2021 6:33:35 PM;open for 20ms
2/9/2021 7:06:25 PM;open for 20ms
2/9/2021 7:39:04 PM;open for 20ms
2/9/2021 8:14:07 PM;open for 20ms
2/9/2021 8:49:24 PM;open for 20ms
2/9/2021 9:25:35 PM;open for 20ms
2/9/2021 10:00:38 PM;open for 20ms
2/9/2021 10:38:27 PM;open for 20ms
2/9/2021 11:12:47 PM;open for 20ms
2/9/2021 11:49:56 PM;open for 20ms
2/10/2021 12:27:15 AM;open for 20ms
2/10/2021 1:02:47 AM;open for 20ms
2/10/2021 1:40:28 AM;open for 20ms
2/10/2021 2:19:18 AM;open for 20ms
