Date;heating
2/15/2021 12:27:26 PM;off
2/15/2021 12:28:18 PM;on
2/15/2021 12:28:28 PM;off
2/15/2021 12:29:04 PM;on
2/15/2021 12:29:14 PM;off
2/15/2021 12:29:51 PM;on
2/15/2021 12:30:01 PM;off
2/15/2021 12:31:03 PM;on
2/15/2021 12:31:12 PM;off
2/15/2021 12:31:48 PM;on
2/15/2021 12:31:58 PM;off
2/15/2021 12:32:34 PM;on
2/15/2021 12:32:44 PM;off
2/15/2021 12:33:20 PM;on
2/15/2021 12:33:30 PM;off
2/15/2021 12:34:17 PM;on
2/15/2021 12:34:26 PM;off
2/15/2021 12:35:13 PM;on
2/15/2021 12:35:23 PM;off
2/15/2021 12:44:28 PM;on
2/15/2021 12:44:38 PM;off
2/18/2021 5:05:24 PM;on
2/18/2021 5:05:34 PM;off
2/19/2021 4:29:18 PM;on
2/19/2021 4:29:28 PM;off
