Date;valve
2/15/2021 12:28:15 PM;open for 20ms
2/15/2021 12:28:44 PM;open for 20ms
2/15/2021 12:29:13 PM;open for 20ms
2/15/2021 12:29:42 PM;open for 20ms
2/15/2021 12:30:11 PM;open for 20ms
2/15/2021 12:33:20 PM;open for 20ms
2/15/2021 12:33:49 PM;open for 20ms
2/15/2021 12:34:17 PM;open for 20ms
2/15/2021 12:35:04 PM;open for 20ms
2/15/2021 12:35:33 PM;open for 20ms
2/15/2021 12:36:02 PM;open for 20ms
2/15/2021 12:36:31 PM;open for 20ms
2/15/2021 12:37:00 PM;open for 20ms
2/15/2021 12:45:53 PM;open for 20ms
2/15/2021 12:59:37 PM;open for 20ms
2/15/2021 1:17:34 PM;open for 20ms
2/15/2021 1:39:39 PM;open for 20ms
2/15/2021 2:02:42 PM;open for 20ms
2/15/2021 2:30:18 PM;open for 20ms
2/15/2021 2:58:16 PM;open for 20ms
2/15/2021 3:28:02 PM;open for 20ms
2/15/2021 3:59:18 PM;open for 20ms
2/15/2021 4:44:13 PM;open for 20ms
2/15/2021 4:44:42 PM;open for 20ms
2/15/2021 4:45:11 PM;open for 20ms
2/15/2021 4:45:39 PM;open for 20ms
2/15/2021 4:46:08 PM;open for 20ms
2/15/2021 4:46:37 PM;open for 20ms
2/15/2021 4:47:06 PM;open for 20ms
2/15/2021 4:47:35 PM;open for 20ms
2/15/2021 4:48:04 PM;open for 20ms
2/15/2021 4:48:32 PM;open for 20ms
2/15/2021 5:13:05 PM;open for 20ms
2/15/2021 5:36:37 PM;open for 20ms
2/15/2021 6:03:59 PM;open for 20ms
2/15/2021 6:32:00 PM;open for 20ms
2/15/2021 6:59:51 PM;open for 20ms
2/15/2021 7:29:48 PM;open for 20ms
2/15/2021 8:02:13 PM;open for 20ms
2/15/2021 8:31:59 PM;open for 20ms
2/15/2021 9:06:04 PM;open for 20ms
2/15/2021 9:38:39 PM;open for 20ms
2/15/2021 10:12:12 PM;open for 20ms
2/15/2021 10:46:32 PM;open for 20ms
2/15/2021 11:19:00 PM;open for 20ms
2/15/2021 11:53:45 PM;open for 20ms
2/16/2021 12:26:06 AM;open for 20ms
2/16/2021 1:02:35 AM;open for 20ms
2/16/2021 1:34:45 AM;open for 20ms
2/16/2021 2:09:45 AM;open for 20ms
2/16/2021 2:46:03 AM;open for 20ms
2/16/2021 3:19:04 AM;open for 20ms
2/16/2021 3:54:17 AM;open for 20ms
2/16/2021 4:29:17 AM;open for 20ms
2/16/2021 5:03:11 AM;open for 20ms
2/16/2021 5:37:20 AM;open for 20ms
2/16/2021 6:14:04 AM;open for 20ms
2/16/2021 6:48:13 AM;open for 20ms
2/16/2021 7:22:00 AM;open for 20ms
2/16/2021 7:58:01 AM;open for 20ms
2/16/2021 8:32:06 AM;open for 20ms
2/16/2021 9:02:17 AM;open for 20ms
2/16/2021 9:26:11 AM;open for 20ms
2/16/2021 9:51:16 AM;open for 20ms
2/16/2021 10:15:38 AM;open for 20ms
2/16/2021 10:39:06 AM;open for 20ms
2/16/2021 11:12:05 AM;open for 20ms
2/16/2021 11:12:34 AM;open for 20ms
2/16/2021 11:13:03 AM;open for 20ms
2/16/2021 11:13:31 AM;open for 20ms
2/16/2021 11:14:00 AM;open for 20ms
2/16/2021 11:14:29 AM;open for 20ms
2/16/2021 11:14:58 AM;open for 20ms
2/16/2021 11:15:27 AM;open for 20ms
2/16/2021 11:15:56 AM;open for 20ms
2/16/2021 11:16:24 AM;open for 20ms
2/16/2021 11:16:53 AM;open for 20ms
2/16/2021 11:31:28 AM;open for 20ms
2/16/2021 11:51:02 AM;open for 20ms
2/16/2021 12:11:12 PM;open for 20ms
2/16/2021 12:32:16 PM;open for 20ms
2/16/2021 12:54:17 PM;open for 20ms
2/16/2021 12:59:13 PM;open for 20ms
2/16/2021 12:59:42 PM;open for 20ms
2/16/2021 1:00:10 PM;open for 20ms
2/16/2021 1:00:39 PM;open for 20ms
2/16/2021 1:01:08 PM;open for 20ms
2/16/2021 1:01:37 PM;open for 20ms
2/16/2021 1:02:06 PM;open for 20ms
2/16/2021 1:02:34 PM;open for 20ms
2/16/2021 1:03:03 PM;open for 20ms
2/16/2021 1:04:40 PM;open for 20ms
2/16/2021 1:35:35 PM;open for 20ms
2/16/2021 1:36:04 PM;open for 20ms
2/16/2021 1:36:32 PM;open for 20ms
2/16/2021 1:37:01 PM;open for 20ms
2/16/2021 1:37:30 PM;open for 20ms
2/16/2021 1:37:59 PM;open for 20ms
2/16/2021 1:38:28 PM;open for 20ms
2/16/2021 1:38:57 PM;open for 20ms
2/16/2021 1:39:25 PM;open for 20ms
2/16/2021 1:39:54 PM;open for 20ms
2/16/2021 1:40:23 PM;open for 20ms
2/16/2021 1:40:52 PM;open for 20ms
2/16/2021 1:54:22 PM;open for 20ms
2/16/2021 2:11:25 PM;open for 20ms
2/16/2021 2:29:32 PM;open for 20ms
2/16/2021 2:50:22 PM;open for 20ms
2/16/2021 3:10:39 PM;open for 20ms
2/16/2021 3:30:05 PM;open for 20ms
2/16/2021 3:50:08 PM;open for 20ms
2/16/2021 4:10:25 PM;open for 20ms
2/16/2021 4:54:44 PM;open for 20ms
2/16/2021 4:55:13 PM;open for 20ms
2/16/2021 4:55:41 PM;open for 20ms
2/16/2021 4:56:10 PM;open for 20ms
2/16/2021 4:56:39 PM;open for 20ms
2/16/2021 4:57:08 PM;open for 20ms
2/16/2021 4:57:37 PM;open for 20ms
2/16/2021 4:58:05 PM;open for 20ms
2/16/2021 4:58:34 PM;open for 20ms
2/16/2021 4:59:03 PM;open for 20ms
2/16/2021 4:59:32 PM;open for 20ms
2/16/2021 5:00:01 PM;open for 20ms
2/16/2021 5:00:30 PM;open for 20ms
2/16/2021 5:00:58 PM;open for 20ms
2/16/2021 5:15:41 PM;open for 20ms
2/16/2021 5:28:20 PM;open for 20ms
2/16/2021 5:43:31 PM;open for 20ms
2/16/2021 5:57:52 PM;open for 20ms
2/16/2021 6:14:29 PM;open for 20ms
2/16/2021 6:30:02 PM;open for 20ms
2/16/2021 6:45:42 PM;open for 20ms
2/16/2021 7:00:31 PM;open for 20ms
2/16/2021 7:17:59 PM;open for 20ms
2/16/2021 7:33:53 PM;open for 20ms
2/16/2021 7:48:14 PM;open for 20ms
2/16/2021 8:04:52 PM;open for 20ms
2/16/2021 8:19:48 PM;open for 20ms
2/16/2021 8:35:28 PM;open for 20ms
2/16/2021 8:52:09 PM;open for 20ms
2/16/2021 9:06:55 PM;open for 20ms
2/16/2021 9:21:16 PM;open for 20ms
2/16/2021 9:35:36 PM;open for 20ms
2/16/2021 9:51:12 PM;open for 20ms
2/16/2021 10:05:01 PM;open for 20ms
2/16/2021 10:20:48 PM;open for 20ms
2/16/2021 10:35:19 PM;open for 20ms
2/16/2021 10:49:29 PM;open for 20ms
2/16/2021 11:02:30 PM;open for 20ms
2/16/2021 11:17:56 PM;open for 20ms
2/16/2021 11:32:06 PM;open for 20ms
