Date;heating
19.12.2019 14:39:20;on
19.12.2019 14:39:29;off
19.12.2019 14:40:05;on
19.12.2019 14:40:15;off
19.12.2019 14:40:51;on
19.12.2019 14:41:01;off
19.12.2019 14:41:36;on
19.12.2019 14:41:46;off
19.12.2019 14:42:22;on
19.12.2019 14:42:32;off
19.12.2019 14:43:07;on
19.12.2019 14:43:17;off
19.12.2019 14:43:53;on
19.12.2019 14:44:03;off
19.12.2019 14:44:39;on
19.12.2019 14:44:49;off
19.12.2019 14:45:24;on
19.12.2019 14:45:34;off
19.12.2019 14:46:10;on
19.12.2019 14:46:20;off
19.12.2019 14:46:55;on
19.12.2019 14:47:05;off
19.12.2019 14:47:41;on
19.12.2019 14:47:51;off
19.12.2019 14:48:26;on
19.12.2019 14:48:36;off
19.12.2019 14:49:12;on
19.12.2019 14:49:22;off
19.12.2019 14:49:58;on
19.12.2019 14:50:08;off
19.12.2019 14:50:43;on
19.12.2019 14:50:53;off
19.12.2019 14:51:28;on
19.12.2019 14:51:38;off
19.12.2019 14:52:14;on
19.12.2019 14:52:24;off
19.12.2019 14:52:59;on
19.12.2019 14:53:09;off
19.12.2019 14:53:45;on
19.12.2019 14:53:55;off
19.12.2019 14:54:30;on
19.12.2019 14:54:40;off
19.12.2019 14:55:16;on
19.12.2019 14:55:26;off
19.12.2019 14:56:01;on
19.12.2019 14:56:11;off
19.12.2019 14:56:46;on
19.12.2019 14:56:56;off
19.12.2019 14:57:32;on
19.12.2019 14:57:42;off
19.12.2019 14:58:17;on
19.12.2019 14:58:27;off
19.12.2019 14:59:03;on
19.12.2019 14:59:13;off
19.12.2019 14:59:48;on
19.12.2019 14:59:58;off
19.12.2019 15:00:34;on
19.12.2019 15:00:44;off
19.12.2019 15:01:19;on
19.12.2019 15:01:29;off
19.12.2019 15:02:05;on
19.12.2019 15:02:15;off
19.12.2019 15:02:50;on
19.12.2019 15:03:00;off
19.12.2019 15:03:35;on
19.12.2019 15:03:45;off
19.12.2019 15:04:21;on
19.12.2019 15:04:31;off
19.12.2019 15:05:37;on
19.12.2019 15:05:47;off
14.01.2021 14:41:28;on
14.01.2021 14:41:38;off
14.01.2021 14:42:14;on
14.01.2021 14:42:24;off
14.01.2021 14:42:59;on
14.01.2021 14:43:09;off
14.01.2021 14:43:45;on
14.01.2021 14:43:55;off
14.01.2021 14:44:30;on
14.01.2021 14:44:40;off
14.01.2021 14:45:16;on
14.01.2021 14:45:26;off
14.01.2021 14:46:01;on
14.01.2021 14:46:11;off
14.01.2021 14:46:47;on
14.01.2021 14:46:57;off
14.01.2021 14:47:33;on
14.01.2021 14:47:43;off
14.01.2021 14:48:18;on
14.01.2021 14:48:28;off
14.01.2021 14:49:04;on
1/14/2021 4:02:17 PM;on
1/14/2021 4:02:27 PM;off
1/14/2021 4:03:23 PM;on
1/14/2021 4:03:33 PM;off
1/14/2021 4:04:08 PM;on
1/14/2021 4:04:18 PM;off
1/14/2021 4:04:54 PM;on
1/14/2021 4:05:04 PM;off
1/14/2021 4:05:39 PM;on
1/14/2021 4:05:49 PM;off
1/14/2021 4:06:25 PM;on
1/14/2021 4:06:35 PM;off
1/14/2021 4:07:10 PM;on
1/14/2021 4:07:20 PM;off
1/14/2021 4:08:26 PM;on
1/14/2021 4:08:36 PM;off
1/14/2021 5:48:46 PM;on
1/14/2021 5:48:56 PM;off
1/18/2021 11:40:41 AM;on
1/18/2021 11:40:50 AM;off
1/18/2021 11:41:26 AM;on
1/18/2021 11:41:36 AM;off
1/18/2021 11:42:12 AM;on
1/18/2021 11:42:21 AM;off
1/18/2021 11:42:57 AM;on
1/18/2021 11:43:07 AM;off
1/18/2021 11:43:42 AM;on
1/18/2021 11:43:52 AM;off
1/18/2021 11:44:28 AM;on
1/18/2021 11:44:38 AM;off
1/18/2021 11:45:14 AM;on
1/18/2021 11:45:24 AM;off
1/18/2021 11:45:59 AM;on
1/18/2021 11:46:09 AM;off
1/18/2021 11:46:45 AM;on
1/18/2021 11:46:55 AM;off
1/18/2021 11:47:35 AM;on
1/18/2021 11:47:45 AM;off
1/18/2021 11:48:21 AM;on
1/18/2021 11:48:31 AM;off
1/18/2021 11:49:07 AM;on
1/18/2021 11:49:16 AM;off
1/18/2021 11:49:52 AM;on
1/18/2021 11:50:02 AM;off
1/18/2021 11:50:39 AM;on
1/18/2021 11:50:49 AM;off
1/18/2021 11:51:24 AM;on
1/18/2021 11:51:34 AM;off
1/18/2021 11:52:10 AM;on
1/18/2021 11:52:20 AM;off
1/18/2021 11:52:55 AM;on
1/18/2021 11:53:05 AM;off
1/18/2021 11:53:41 AM;on
1/18/2021 11:53:51 AM;off
1/18/2021 11:54:26 AM;on
1/18/2021 11:54:36 AM;off
1/18/2021 11:55:12 AM;on
1/18/2021 11:55:22 AM;off
1/18/2021 11:55:57 AM;on
1/18/2021 11:56:07 AM;off
1/18/2021 12:07:14 PM;on
1/18/2021 12:07:24 PM;off
1/18/2021 12:09:15 PM;on
1/18/2021 12:09:25 PM;off
1/18/2021 12:11:52 PM;on
1/18/2021 12:12:02 PM;off
1/18/2021 12:44:06 PM;on
1/18/2021 12:44:16 PM;off
1/18/2021 1:18:00 PM;on
1/18/2021 1:18:10 PM;off
1/18/2021 2:01:06 PM;on
1/18/2021 2:01:16 PM;off
1/18/2021 2:27:51 PM;on
1/18/2021 2:28:01 PM;off
1/18/2021 2:47:00 PM;on
1/18/2021 2:47:10 PM;off
1/25/2021 2:49:02 PM;on
1/25/2021 2:49:12 PM;off
1/25/2021 2:49:47 PM;on
1/25/2021 2:49:57 PM;off
1/25/2021 2:50:33 PM;on
1/25/2021 2:50:43 PM;off
1/25/2021 2:51:18 PM;on
1/25/2021 2:51:28 PM;off
1/25/2021 2:52:04 PM;on
1/25/2021 2:52:14 PM;off
1/25/2021 2:52:49 PM;on
1/25/2021 2:52:59 PM;off
1/25/2021 2:53:35 PM;on
1/25/2021 2:53:45 PM;off
1/25/2021 2:54:21 PM;on
1/25/2021 2:54:30 PM;off
1/25/2021 2:55:06 PM;on
1/25/2021 2:55:16 PM;off
1/25/2021 2:55:52 PM;on
1/25/2021 2:56:02 PM;off
1/25/2021 2:56:38 PM;on
1/25/2021 2:56:48 PM;off
1/25/2021 2:57:23 PM;on
1/25/2021 2:57:33 PM;off
1/25/2021 2:58:48 PM;on
1/25/2021 2:58:58 PM;off
1/25/2021 2:59:33 PM;on
1/25/2021 2:59:43 PM;off
1/25/2021 3:03:48 PM;on
1/25/2021 3:03:58 PM;off
1/25/2021 3:07:09 PM;on
1/25/2021 3:07:18 PM;off
1/25/2021 3:08:24 PM;on
1/25/2021 3:08:34 PM;off
2/1/2021 11:44:17 AM;on
2/1/2021 11:44:26 AM;off
2/1/2021 11:45:02 AM;on
2/1/2021 11:45:12 AM;off
2/1/2021 11:45:48 AM;on
2/1/2021 11:45:57 AM;off
2/1/2021 11:46:33 AM;on
2/1/2021 11:46:43 AM;off
2/1/2021 11:47:19 AM;on
2/1/2021 11:47:29 AM;off
2/1/2021 11:48:04 AM;on
2/1/2021 11:48:14 AM;off
2/1/2021 11:48:50 AM;on
2/1/2021 11:49:00 AM;off
2/1/2021 11:49:38 AM;on
2/1/2021 11:49:48 AM;off
2/1/2021 11:51:04 AM;on
2/1/2021 11:51:14 AM;off
2/1/2021 11:51:50 AM;on
2/1/2021 11:51:59 AM;off
2/8/2021 11:19:38 AM;on
2/8/2021 11:19:48 AM;off
2/8/2021 11:20:44 AM;on
2/8/2021 11:20:54 AM;off
2/8/2021 11:21:29 AM;on
2/8/2021 11:21:39 AM;off
2/8/2021 11:22:45 AM;on
2/8/2021 11:22:55 AM;off
2/8/2021 11:24:41 AM;on
2/8/2021 11:24:51 AM;off
2/8/2021 11:25:26 AM;on
2/8/2021 11:25:36 AM;off
2/8/2021 11:33:16 AM;on
2/8/2021 11:33:26 AM;off
2/8/2021 11:42:26 AM;on
2/8/2021 11:42:36 AM;off
2/8/2021 12:45:19 PM;on
2/8/2021 12:45:29 PM;off
2/8/2021 1:06:45 PM;on
2/8/2021 1:06:54 PM;off
2/9/2021 10:44:59 AM;on
2/9/2021 10:45:09 AM;off
2/15/2021 12:22:43 PM;on
2/15/2021 12:22:52 PM;off
2/15/2021 12:23:28 PM;on
2/15/2021 12:23:38 PM;off
2/15/2021 12:24:14 PM;on
2/15/2021 12:24:23 PM;off
2/15/2021 12:24:59 PM;on
2/15/2021 12:25:09 PM;off
2/15/2021 12:25:45 PM;on
2/15/2021 12:25:55 PM;off
2/15/2021 12:26:31 PM;on
2/15/2021 12:26:41 PM;off
3/4/2021 12:56:40 PM;on
3/4/2021 12:56:50 PM;off
3/4/2021 12:57:26 PM;on
3/4/2021 12:57:36 PM;off
3/4/2021 12:58:11 PM;on
3/4/2021 12:58:21 PM;off
3/4/2021 12:58:57 PM;on
3/4/2021 12:59:07 PM;off
3/4/2021 12:59:42 PM;on
3/4/2021 12:59:52 PM;off
3/4/2021 1:00:28 PM;on
3/4/2021 1:00:38 PM;off
3/4/2021 1:01:13 PM;on
3/4/2021 1:01:23 PM;off
3/4/2021 1:01:59 PM;on
3/4/2021 1:02:09 PM;off
3/4/2021 1:03:10 PM;on
3/4/2021 1:03:20 PM;off
3/4/2021 1:04:00 PM;on
3/4/2021 1:04:10 PM;off
3/4/2021 1:04:46 PM;on
3/4/2021 1:04:56 PM;off
3/4/2021 1:05:31 PM;on
3/4/2021 1:05:41 PM;off
3/4/2021 1:20:54 PM;on
3/4/2021 1:21:04 PM;off
3/4/2021 1:22:30 PM;on
3/4/2021 1:22:40 PM;off
3/4/2021 1:25:07 PM;on
3/4/2021 1:25:16 PM;off
3/4/2021 5:05:29 PM;on
3/4/2021 5:05:39 PM;off
3/4/2021 5:58:13 PM;on
3/4/2021 5:58:23 PM;off
3/4/2021 6:50:07 PM;on
3/4/2021 6:50:17 PM;off
3/4/2021 7:05:37 PM;on
3/4/2021 7:05:47 PM;off
3/4/2021 9:07:34 PM;on
3/4/2021 9:07:44 PM;off
3/4/2021 11:12:09 PM;on
3/4/2021 11:12:19 PM;off
3/5/2021 1:16:14 AM;on
3/5/2021 1:16:24 AM;off
3/5/2021 1:59:41 AM;on
3/5/2021 1:59:51 AM;off
3/5/2021 3:39:02 AM;on
3/5/2021 3:39:12 AM;off
3/5/2021 4:21:42 AM;on
3/5/2021 4:21:52 AM;off
3/5/2021 5:10:47 AM;on
3/5/2021 5:10:57 AM;off
3/5/2021 6:07:48 AM;on
3/5/2021 6:07:58 AM;off
3/5/2021 7:07:53 AM;on
3/5/2021 7:08:02 AM;off
3/5/2021 8:20:40 AM;on
3/5/2021 8:20:50 AM;off
3/5/2021 9:20:33 AM;on
3/5/2021 9:20:43 AM;off
3/5/2021 10:41:00 AM;on
3/5/2021 10:41:10 AM;off
3/5/2021 11:15:04 AM;on
3/5/2021 11:15:13 AM;off
3/5/2021 12:26:29 PM;on
3/5/2021 12:26:39 PM;off
3/5/2021 1:11:30 PM;on
3/5/2021 1:11:40 PM;off
3/5/2021 2:30:00 PM;on
3/5/2021 2:30:10 PM;off
3/19/2021 5:13:29 PM;on
3/19/2021 5:13:39 PM;off
3/19/2021 5:14:15 PM;on
3/19/2021 5:14:25 PM;off
3/19/2021 5:15:00 PM;on
3/19/2021 5:15:10 PM;off
3/19/2021 5:15:46 PM;on
3/19/2021 5:15:56 PM;off
3/19/2021 5:16:31 PM;on
3/19/2021 5:16:41 PM;off
3/19/2021 5:17:17 PM;on
3/19/2021 5:17:27 PM;off
3/26/2021 6:24:51 PM;on
3/26/2021 6:25:01 PM;off
4/16/2021 7:02:45 PM;on
4/16/2021 7:02:55 PM;off
4/16/2021 7:03:30 PM;on
4/16/2021 7:03:40 PM;off
4/16/2021 7:04:16 PM;on
4/16/2021 7:04:26 PM;off
4/16/2021 7:05:01 PM;on
4/16/2021 7:05:11 PM;off
4/16/2021 7:05:47 PM;on
4/16/2021 7:05:57 PM;off
4/16/2021 7:06:32 PM;on
4/16/2021 7:06:42 PM;off
5/7/2021 1:56:56 PM;on
5/7/2021 1:57:06 PM;off
5/7/2021 1:57:42 PM;on
5/7/2021 1:57:52 PM;off
5/7/2021 1:58:27 PM;on
5/7/2021 1:58:37 PM;off
5/7/2021 1:59:14 PM;on
5/7/2021 1:59:24 PM;off
5/7/2021 2:00:00 PM;on
5/7/2021 2:00:10 PM;off
5/7/2021 2:00:45 PM;on
5/7/2021 2:00:55 PM;off
5/7/2021 2:01:31 PM;on
5/7/2021 2:01:41 PM;off
5/7/2021 2:02:17 PM;on
5/7/2021 2:02:26 PM;off
5/7/2021 2:03:42 PM;on
5/7/2021 2:03:52 PM;off
5/7/2021 2:04:28 PM;on
5/7/2021 2:04:38 PM;off
5/7/2021 2:07:09 PM;on
5/7/2021 2:07:19 PM;off
5/7/2021 2:08:00 PM;on
5/7/2021 2:08:10 PM;off
5/7/2021 2:09:51 PM;on
5/7/2021 2:10:01 PM;off
5/7/2021 2:10:56 PM;on
5/7/2021 2:11:06 PM;off
5/7/2021 2:11:42 PM;on
5/7/2021 2:11:52 PM;off
5/7/2021 2:12:27 PM;on
5/7/2021 2:12:37 PM;off
5/31/2021 3:11:30 PM;on
5/31/2021 3:11:40 PM;off
