Date;valve
1/18/2021 2:48:24 PM;open for 20ms
1/18/2021 2:48:53 PM;open for 20ms
1/18/2021 2:49:21 PM;open for 20ms
1/18/2021 2:49:50 PM;open for 20ms
1/18/2021 2:50:19 PM;open for 20ms
1/18/2021 2:50:48 PM;open for 20ms
1/18/2021 2:51:17 PM;open for 20ms
1/18/2021 2:51:45 PM;open for 20ms
1/18/2021 2:52:14 PM;open for 20ms
1/18/2021 2:52:43 PM;open for 20ms
1/18/2021 2:53:12 PM;open for 20ms
1/18/2021 2:53:41 PM;open for 20ms
1/18/2021 2:54:09 PM;open for 20ms
1/18/2021 3:10:00 PM;open for 20ms
1/18/2021 3:27:50 PM;open for 20ms
1/18/2021 3:46:55 PM;open for 20ms
1/18/2021 4:08:06 PM;open for 20ms
1/18/2021 4:28:52 PM;open for 20ms
1/18/2021 4:51:51 PM;open for 20ms
1/18/2021 5:14:07 PM;open for 20ms
1/18/2021 5:37:13 PM;open for 20ms
1/18/2021 5:58:13 PM;open for 20ms
1/18/2021 6:22:03 PM;open for 20ms
1/18/2021 6:43:54 PM;open for 20ms
1/18/2021 7:06:38 PM;open for 20ms
1/18/2021 7:29:52 PM;open for 20ms
1/18/2021 7:52:40 PM;open for 20ms
1/18/2021 8:14:46 PM;open for 20ms
1/18/2021 8:38:42 PM;open for 20ms
1/18/2021 9:00:08 PM;open for 20ms
1/18/2021 9:24:15 PM;open for 20ms
1/18/2021 9:46:46 PM;open for 20ms
1/18/2021 10:10:25 PM;open for 20ms
1/18/2021 10:33:13 PM;open for 20ms
1/18/2021 10:56:37 PM;open for 20ms
1/18/2021 11:19:47 PM;open for 20ms
1/18/2021 11:43:30 PM;open for 20ms
1/19/2021 12:05:46 AM;open for 20ms
1/19/2021 12:28:59 AM;open for 20ms
1/19/2021 12:52:31 AM;open for 20ms
1/19/2021 1:15:19 AM;open for 20ms
1/19/2021 1:38:00 AM;open for 20ms
1/19/2021 2:01:21 AM;open for 20ms
1/19/2021 2:24:49 AM;open for 20ms
1/19/2021 2:47:52 AM;open for 20ms
1/19/2021 3:10:47 AM;open for 20ms
1/19/2021 3:33:03 AM;open for 20ms
1/19/2021 3:57:32 AM;open for 20ms
1/19/2021 4:19:45 AM;open for 20ms
1/19/2021 4:43:31 AM;open for 20ms
1/19/2021 5:05:57 AM;open for 20ms
1/19/2021 5:30:30 AM;open for 20ms
1/19/2021 5:52:53 AM;open for 20ms
1/19/2021 6:16:46 AM;open for 20ms
1/19/2021 6:39:02 AM;open for 20ms
1/19/2021 7:03:17 AM;open for 20ms
1/19/2021 7:26:09 AM;open for 20ms
1/19/2021 7:48:47 AM;open for 20ms
1/19/2021 8:11:31 AM;open for 20ms
1/19/2021 8:35:28 AM;open for 20ms
1/19/2021 8:57:51 AM;open for 20ms
1/19/2021 9:21:19 AM;open for 20ms
1/19/2021 9:44:54 AM;open for 20ms
1/19/2021 10:08:08 AM;open for 20ms
1/19/2021 10:31:36 AM;open for 20ms
1/19/2021 10:52:41 AM;open for 20ms
1/19/2021 11:12:07 AM;open for 20ms
1/19/2021 11:35:10 AM;open for 20ms
1/19/2021 11:59:46 AM;open for 20ms
1/19/2021 12:10:32 PM;open for 20ms
1/19/2021 12:11:01 PM;open for 20ms
1/19/2021 12:11:30 PM;open for 20ms
1/19/2021 12:11:59 PM;open for 20ms
1/19/2021 12:42:31 PM;open for 20ms
1/19/2021 1:02:27 PM;open for 20ms
1/19/2021 1:24:50 PM;open for 20ms
1/19/2021 1:43:55 PM;open for 20ms
1/19/2021 2:06:00 PM;open for 20ms
1/19/2021 2:26:50 PM;open for 20ms
1/19/2021 2:48:01 PM;open for 20ms
1/19/2021 3:07:31 PM;open for 20ms
1/19/2021 3:29:54 PM;open for 20ms
1/19/2021 3:50:22 PM;open for 20ms
1/19/2021 4:11:26 PM;open for 20ms
1/19/2021 4:31:40 PM;open for 20ms
1/19/2021 4:51:57 PM;open for 20ms
1/19/2021 5:14:14 PM;open for 20ms
1/19/2021 5:14:43 PM;open for 20ms
1/19/2021 5:15:12 PM;open for 20ms
1/19/2021 5:15:41 PM;open for 20ms
1/19/2021 5:16:10 PM;open for 20ms
1/19/2021 5:16:38 PM;open for 20ms
1/19/2021 5:17:07 PM;open for 20ms
1/19/2021 5:17:36 PM;open for 20ms
1/19/2021 5:33:48 PM;open for 20ms
1/19/2021 5:56:01 PM;open for 20ms
1/19/2021 6:18:13 PM;open for 20ms
1/19/2021 6:39:46 PM;open for 20ms
1/19/2021 7:01:04 PM;open for 20ms
1/19/2021 7:25:08 PM;open for 20ms
1/19/2021 7:45:04 PM;open for 20ms
1/19/2021 8:09:36 PM;open for 20ms
1/19/2021 8:29:32 PM;open for 20ms
1/19/2021 8:53:03 PM;open for 20ms
1/19/2021 9:13:31 PM;open for 20ms
1/19/2021 9:35:40 PM;open for 20ms
1/19/2021 9:58:14 PM;open for 20ms
1/19/2021 10:19:29 PM;open for 20ms
1/19/2021 10:39:57 PM;open for 20ms
1/19/2021 11:03:03 PM;open for 20ms
1/19/2021 11:24:54 PM;open for 20ms
1/19/2021 11:46:37 PM;open for 20ms
1/20/2021 12:09:29 AM;open for 20ms
1/20/2021 12:30:08 AM;open for 20ms
1/20/2021 12:52:49 AM;open for 20ms
1/20/2021 1:14:25 AM;open for 20ms
1/20/2021 1:37:03 AM;open for 20ms
1/20/2021 1:57:20 AM;open for 20ms
1/20/2021 2:19:54 AM;open for 20ms
1/20/2021 2:42:13 AM;open for 20ms
1/20/2021 3:03:21 AM;open for 20ms
1/20/2021 3:25:55 AM;open for 20ms
1/20/2021 3:47:13 AM;open for 20ms
1/20/2021 4:09:26 AM;open for 20ms
1/20/2021 4:29:57 AM;open for 20ms
1/20/2021 4:51:05 AM;open for 20ms
1/20/2021 5:13:42 AM;open for 20ms
1/20/2021 5:34:57 AM;open for 20ms
1/20/2021 5:56:01 AM;open for 20ms
1/20/2021 6:18:31 AM;open for 20ms
1/20/2021 6:40:44 AM;open for 20ms
1/20/2021 7:00:25 AM;open for 20ms
1/20/2021 7:24:29 AM;open for 20ms
1/20/2021 7:45:04 AM;open for 20ms
1/20/2021 8:07:56 AM;open for 20ms
1/20/2021 8:27:51 AM;open for 20ms
1/20/2021 8:50:22 AM;open for 20ms
1/20/2021 9:12:30 AM;open for 20ms
1/20/2021 9:34:14 AM;open for 20ms
1/20/2021 9:54:45 AM;open for 20ms
1/20/2021 10:17:52 AM;open for 20ms
1/20/2021 10:32:56 AM;open for 20ms
1/20/2021 10:33:25 AM;open for 20ms
1/20/2021 10:33:54 AM;open for 20ms
1/20/2021 10:34:22 AM;open for 20ms
1/20/2021 10:34:51 AM;open for 20ms
1/20/2021 10:35:20 AM;open for 20ms
1/20/2021 10:35:49 AM;open for 20ms
1/20/2021 10:36:18 AM;open for 20ms
1/20/2021 10:36:46 AM;open for 20ms
1/20/2021 10:37:15 AM;open for 20ms
1/20/2021 10:43:01 AM;open for 20ms
1/20/2021 11:04:23 AM;open for 20ms
1/20/2021 11:24:00 AM;open for 20ms
1/20/2021 11:44:32 AM;open for 20ms
1/20/2021 12:04:56 PM;open for 20ms
1/20/2021 12:14:46 PM;open for 20ms
1/20/2021 12:36:44 PM;open for 20ms
1/20/2021 12:57:30 PM;open for 20ms
1/20/2021 1:17:11 PM;open for 20ms
1/20/2021 1:38:37 PM;open for 20ms
1/20/2021 1:58:25 PM;open for 20ms
1/20/2021 2:18:20 PM;open for 20ms
1/20/2021 2:38:27 PM;open for 20ms
1/20/2021 2:59:05 PM;open for 20ms
1/20/2021 3:19:15 PM;open for 20ms
1/20/2021 3:40:08 PM;open for 20ms
1/20/2021 4:00:00 PM;open for 20ms
1/20/2021 4:20:25 PM;open for 20ms
1/20/2021 4:40:49 PM;open for 20ms
1/20/2021 4:51:15 PM;open for 20ms
1/20/2021 4:51:44 PM;open for 20ms
1/20/2021 4:52:13 PM;open for 20ms
1/20/2021 4:52:42 PM;open for 20ms
1/20/2021 4:53:11 PM;open for 20ms
1/20/2021 4:53:40 PM;open for 20ms
1/20/2021 4:54:08 PM;open for 20ms
1/20/2021 4:54:37 PM;open for 20ms
1/20/2021 4:55:06 PM;open for 20ms
1/20/2021 4:55:35 PM;open for 20ms
1/20/2021 4:56:04 PM;open for 20ms
1/20/2021 5:17:58 PM;open for 20ms
1/20/2021 5:37:25 PM;open for 20ms
1/20/2021 5:57:27 PM;open for 20ms
1/20/2021 6:16:50 PM;open for 20ms
1/20/2021 6:37:29 PM;open for 20ms
1/20/2021 6:57:43 PM;open for 20ms
1/20/2021 7:18:11 PM;open for 20ms
1/20/2021 7:37:55 PM;open for 20ms
1/20/2021 7:58:41 PM;open for 20ms
1/20/2021 8:18:37 PM;open for 20ms
1/20/2021 8:39:19 PM;open for 20ms
1/20/2021 9:00:30 PM;open for 20ms
1/20/2021 9:19:50 PM;open for 20ms
1/20/2021 9:41:08 PM;open for 20ms
1/20/2021 10:01:25 PM;open for 20ms
1/20/2021 10:22:04 PM;open for 20ms
1/20/2021 10:42:07 PM;open for 20ms
1/20/2021 11:01:40 PM;open for 20ms
1/20/2021 11:23:46 PM;open for 20ms
1/20/2021 11:43:09 PM;open for 20ms
1/21/2021 12:03:51 AM;open for 20ms
1/21/2021 12:23:57 AM;open for 20ms
1/21/2021 12:45:08 AM;open for 20ms
1/21/2021 1:04:14 AM;open for 20ms
1/21/2021 1:24:49 AM;open for 20ms
