Date;heating
1/25/2021 3:56:53 PM;on
1/25/2021 3:57:02 PM;off
2/1/2021 11:52:35 AM;on
2/1/2021 11:52:45 AM;off
2/1/2021 11:53:21 AM;on
2/1/2021 11:53:31 AM;off
2/1/2021 11:54:07 AM;on
2/1/2021 11:54:16 AM;off
2/1/2021 11:55:42 AM;on
2/1/2021 11:55:52 AM;off
2/1/2021 11:57:23 AM;on
2/1/2021 11:57:33 AM;off
2/1/2021 12:00:20 PM;on
2/1/2021 12:00:30 PM;off
2/1/2021 12:01:35 PM;on
2/1/2021 12:01:45 PM;off
2/1/2021 12:04:12 PM;on
2/1/2021 12:04:22 PM;off
2/1/2021 1:41:33 PM;on
2/1/2021 1:41:43 PM;off
2/1/2021 2:13:05 PM;on
2/1/2021 2:13:15 PM;off
2/1/2021 2:26:10 PM;on
2/1/2021 2:26:20 PM;off
2/1/2021 3:10:39 PM;on
2/1/2021 3:10:49 PM;off
2/1/2021 3:28:32 PM;on
2/1/2021 3:28:42 PM;off
2/1/2021 3:32:35 PM;on
2/1/2021 3:32:45 PM;off
2/1/2021 3:40:14 PM;on
2/1/2021 3:40:24 PM;off
2/1/2021 4:31:20 PM;on
2/1/2021 4:31:30 PM;off
2/1/2021 4:52:09 PM;on
2/1/2021 4:52:19 PM;off
3/19/2021 5:18:08 PM;on
3/19/2021 5:18:17 PM;off
