Date;valve
1/25/2021 3:49:15 PM;open for 20ms
1/25/2021 3:49:44 PM;open for 20ms
1/25/2021 3:50:13 PM;open for 20ms
1/25/2021 3:50:41 PM;open for 20ms
1/25/2021 3:51:10 PM;open for 20ms
1/25/2021 3:51:39 PM;open for 20ms
1/25/2021 3:52:08 PM;open for 20ms
1/25/2021 3:52:37 PM;open for 20ms
1/25/2021 3:53:05 PM;open for 20ms
1/25/2021 3:53:34 PM;open for 20ms
1/25/2021 3:54:03 PM;open for 20ms
1/25/2021 3:54:32 PM;open for 20ms
1/25/2021 3:55:01 PM;open for 20ms
1/25/2021 3:55:29 PM;open for 20ms
1/25/2021 3:55:58 PM;open for 20ms
1/25/2021 3:56:27 PM;open for 20ms
1/25/2021 3:56:56 PM;open for 20ms
1/25/2021 3:57:25 PM;open for 20ms
1/25/2021 3:57:53 PM;open for 20ms
1/25/2021 3:58:22 PM;open for 20ms
1/25/2021 3:58:51 PM;open for 20ms
1/25/2021 3:59:20 PM;open for 20ms
1/25/2021 3:59:49 PM;open for 20ms
1/25/2021 4:00:18 PM;open for 20ms
1/25/2021 4:00:46 PM;open for 20ms
1/25/2021 4:01:15 PM;open for 20ms
1/25/2021 4:01:44 PM;open for 20ms
1/25/2021 4:02:13 PM;open for 20ms
1/25/2021 4:02:42 PM;open for 20ms
1/25/2021 4:03:32 PM;open for 20ms
1/25/2021 4:04:01 PM;open for 20ms
1/25/2021 4:04:30 PM;open for 20ms
1/25/2021 4:04:58 PM;open for 20ms
1/25/2021 4:05:56 PM;open for 20ms
1/25/2021 4:06:25 PM;open for 20ms
1/25/2021 4:06:54 PM;open for 20ms
1/25/2021 4:07:22 PM;open for 20ms
1/25/2021 4:08:13 PM;open for 20ms
1/25/2021 4:08:42 PM;open for 20ms
1/25/2021 4:09:10 PM;open for 20ms
1/25/2021 4:09:39 PM;open for 20ms
1/25/2021 4:10:33 PM;open for 20ms
1/25/2021 4:11:02 PM;open for 20ms
1/25/2021 4:11:31 PM;open for 20ms
1/25/2021 4:12:21 PM;open for 20ms
1/25/2021 4:12:50 PM;open for 20ms
1/25/2021 4:13:19 PM;open for 20ms
1/25/2021 4:13:48 PM;open for 20ms
1/25/2021 4:14:49 PM;open for 20ms
1/25/2021 4:15:18 PM;open for 20ms
1/25/2021 4:15:47 PM;open for 20ms
1/25/2021 4:16:15 PM;open for 20ms
1/25/2021 4:17:13 PM;open for 20ms
1/25/2021 4:17:42 PM;open for 20ms
1/25/2021 4:18:11 PM;open for 20ms
1/25/2021 4:18:39 PM;open for 20ms
1/25/2021 4:19:33 PM;open for 20ms
1/25/2021 4:20:02 PM;open for 20ms
1/25/2021 4:20:31 PM;open for 20ms
1/25/2021 4:21:29 PM;open for 20ms
1/25/2021 4:21:57 PM;open for 20ms
1/25/2021 4:22:26 PM;open for 20ms
1/25/2021 4:22:55 PM;open for 20ms
1/25/2021 4:23:56 PM;open for 20ms
1/25/2021 4:24:25 PM;open for 20ms
1/25/2021 4:24:54 PM;open for 20ms
1/25/2021 4:25:23 PM;open for 20ms
1/25/2021 4:26:24 PM;open for 20ms
1/25/2021 4:26:53 PM;open for 20ms
1/25/2021 4:27:22 PM;open for 20ms
1/25/2021 4:27:50 PM;open for 20ms
1/25/2021 4:28:55 PM;open for 20ms
1/25/2021 4:29:24 PM;open for 20ms
1/25/2021 4:29:53 PM;open for 20ms
1/25/2021 4:30:22 PM;open for 20ms
