Date;light target;light real;co2 target;co2 real;temp1;temp2;temp3;temp4;box_humidity;box_temperature;time elapsed
25.05.2021 15:34:14;121;121;5;0,32;36,9;30;32,2;31,1;69,8000010401011;38,3000005707145;1
25.05.2021 15:34:18;121;121;5;0,33;36,9;30;32,2;31,1;70,8000010550022;38,3000005707145;2
25.05.2021 15:40:04;121;121;5;0,29;36,9;30;31,1;30;60,2000008970499;38,4000005722046;3
25.05.2021 15:40:07;121;121;5;0,31;36,9;30;31,1;31,1;65,0000009685755;38,4000005722046;4
25.05.2021 15:40:11;121;121;5;0,31;36,9;30;31,1;31,1;66,6000009924173;38,4000005722046;5
25.05.2021 15:40:15;121;121;5;0,31;36,9;30;31,1;31,1;67,9000010117888;38,4000005722046;6
25.05.2021 15:40:18;121;121;5;0,32;36,9;30;31,1;31,1;68,5000010207295;38,4000005722046;7
25.05.2021 15:40:22;121;121;5;0,32;36,9;30;31,1;31,1;69,1000010296702;38,5000005736947;8
25.05.2021 15:40:25;121;121;5;0,33;36,9;30;32,2;31,1;69,4000010341406;38,5000005736947;9
25.05.2021 15:40:29;121;121;5;0,34;36,9;30;32,2;31,1;69,7000010386109;38,5000005736947;10
25.05.2021 15:40:33;121;121;5;0,35;36,9;30;31,1;30;69,9000010415912;38,5000005736947;11
25.05.2021 15:40:36;121;121;5;0,38;36,9;30;31,1;31,1;70,1000010445714;38,5000005736947;12
25.05.2021 15:40:40;121;121;5;0,42;36,9;30;31,1;31,1;70,2000010460615;38,5000005736947;13
25.05.2021 15:40:43;121;121;5;0,47;36,9;30;31,1;31,1;70,3000010475516;38,5000005736947;14
25.05.2021 15:40:47;121;121;5;0,5;36,9;30;31,1;31,1;70,4000010490417;38,5000005736947;15
25.05.2021 15:40:51;121;121;5;0,53;36,9;30;31,1;31,1;70,4000010490417;38,5000005736947;16
25.05.2021 15:40:54;121;121;5;0,54;36,9;30;31,1;31,1;70,5000010505319;38,5000005736947;17
25.05.2021 15:40:58;121;121;5;0,55;36,9;30;31,1;30;70,5000010505319;38,5000005736947;18
25.05.2021 15:41:01;121;121;5;0,58;36,9;30;32,2;30;70,5000010505319;38,5000005736947;19
25.05.2021 15:41:05;121;121;5;0,64;36,9;30;32,2;30;70,600001052022;38,6000005751848;20
25.05.2021 15:41:09;121;121;5;0,67;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;21
25.05.2021 15:41:12;121;121;5;0,74;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;22
25.05.2021 15:41:16;121;121;5;0,77;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;23
25.05.2021 15:41:19;121;121;5;0,81;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;24
25.05.2021 15:41:23;121;121;5;0,82;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;25
25.05.2021 15:41:27;121;121;5;0,83;36,9;30;31,1;30;70,600001052022;38,6000005751848;26
25.05.2021 15:41:30;121;121;5;0,86;36,9;30;31,1;30;70,600001052022;38,6000005751848;27
25.05.2021 15:41:34;121;121;5;0,92;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;28
25.05.2021 15:41:37;121;121;5;0,97;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;29
25.05.2021 15:41:41;121;121;5;1,04;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;30
25.05.2021 15:41:45;121;121;5;1,08;36,9;30;31,1;31,1;70,600001052022;38,6000005751848;31
25.05.2021 15:41:48;121;121;5;1,12;36,9;30;31,1;30;70,600001052022;38,7000005766749;32
25.05.2021 15:41:52;121;121;5;1,12;36,9;30;31,1;30;70,8000010550022;38,7000005766749;33
