Date;valve
26.05.2021 14:36:28;open for 60 ms
26.05.2021 14:40:51;open for 60 ms
26.05.2021 14:46:22;open for 60 ms
26.05.2021 14:51:03;open for 60 ms
26.05.2021 14:55:30;open for 60 ms
26.05.2021 15:00:36;open for 60 ms
26.05.2021 15:04:55;open for 60 ms
26.05.2021 15:09:25;open for 60 ms
26.05.2021 15:13:59;open for 60 ms
26.05.2021 15:18:43;open for 60 ms
26.05.2021 15:22:52;open for 60 ms
26.05.2021 15:27:32;open for 60 ms
26.05.2021 15:32:28;open for 60 ms
26.05.2021 15:36:25;open for 60 ms
26.05.2021 15:41:24;open for 60 ms
26.05.2021 15:45:36;open for 60 ms
26.05.2021 15:50:06;open for 60 ms
26.05.2021 15:54:26;open for 60 ms
26.05.2021 15:58:45;open for 60 ms
26.05.2021 16:03:11;open for 60 ms
26.05.2021 16:07:52;open for 60 ms
26.05.2021 16:12:47;open for 60 ms
26.05.2021 16:17:28;open for 60 ms
26.05.2021 16:21:37;open for 60 ms
26.05.2021 16:25:34;open for 60 ms
26.05.2021 16:30:26;open for 60 ms
26.05.2021 16:34:17;open for 60 ms
26.05.2021 16:39:01;open for 60 ms
26.05.2021 16:43:02;open for 60 ms
26.05.2021 16:47:50;open for 60 ms
26.05.2021 16:52:02;open for 60 ms
26.05.2021 16:56:11;open for 60 ms
26.05.2021 17:00:59;open for 60 ms
26.05.2021 17:05:04;open for 60 ms
26.05.2021 17:09:12;open for 60 ms
26.05.2021 17:13:39;open for 60 ms
26.05.2021 17:17:44;open for 60 ms
26.05.2021 17:22:14;open for 60 ms
26.05.2021 17:26:18;open for 60 ms
26.05.2021 17:26:47;open for 60 ms
26.05.2021 17:27:16;open for 60 ms
26.05.2021 17:27:45;open for 60 ms
26.05.2021 17:32:08;open for 60 ms
26.05.2021 17:35:51;open for 60 ms
26.05.2021 17:40:10;open for 60 ms
26.05.2021 17:44:30;open for 60 ms
26.05.2021 17:49:14;open for 60 ms
26.05.2021 17:53:30;open for 60 ms
26.05.2021 17:56:59;open for 60 ms
26.05.2021 18:01:14;open for 60 ms
26.05.2021 18:05:33;open for 60 ms
26.05.2021 18:09:38;open for 60 ms
26.05.2021 18:14:16;open for 60 ms
26.05.2021 18:18:13;open for 60 ms
26.05.2021 18:22:36;open for 60 ms
26.05.2021 18:26:41;open for 60 ms
26.05.2021 18:30:57;open for 60 ms
26.05.2021 18:35:09;open for 60 ms
26.05.2021 18:39:10;open for 60 ms
26.05.2021 18:43:36;open for 60 ms
26.05.2021 18:47:41;open for 60 ms
26.05.2021 18:51:50;open for 60 ms
26.05.2021 18:55:40;open for 60 ms
26.05.2021 18:59:56;open for 60 ms
26.05.2021 19:04:40;open for 60 ms
26.05.2021 19:08:49;open for 60 ms
26.05.2021 19:12:36;open for 60 ms
26.05.2021 19:16:19;open for 60 ms
26.05.2021 19:20:42;open for 60 ms
26.05.2021 19:24:39;open for 60 ms
26.05.2021 19:29:53;open for 60 ms
26.05.2021 19:33:32;open for 60 ms
26.05.2021 19:37:26;open for 60 ms
26.05.2021 19:42:07;open for 60 ms
26.05.2021 19:45:18;open for 60 ms
26.05.2021 19:49:45;open for 60 ms
26.05.2021 19:53:39;open for 60 ms
26.05.2021 19:58:09;open for 60 ms
26.05.2021 20:01:48;open for 60 ms
26.05.2021 20:05:39;open for 60 ms
26.05.2021 20:10:09;open for 60 ms
26.05.2021 20:13:52;open for 60 ms
26.05.2021 20:18:11;open for 60 ms
26.05.2021 20:22:20;open for 60 ms
26.05.2021 20:25:56;open for 60 ms
26.05.2021 20:30:19;open for 60 ms
26.05.2021 20:34:09;open for 60 ms
26.05.2021 20:38:14;open for 60 ms
26.05.2021 20:42:12;open for 60 ms
26.05.2021 20:46:20;open for 60 ms
26.05.2021 20:49:49;open for 60 ms
26.05.2021 20:54:23;open for 60 ms
26.05.2021 20:57:59;open for 60 ms
26.05.2021 21:02:04;open for 60 ms
26.05.2021 21:05:54;open for 60 ms
26.05.2021 21:10:02;open for 60 ms
26.05.2021 21:13:56;open for 60 ms
26.05.2021 21:17:51;open for 60 ms
26.05.2021 21:21:59;open for 60 ms
26.05.2021 21:25:35;open for 60 ms
26.05.2021 21:29:36;open for 60 ms
26.05.2021 21:33:41;open for 60 ms
26.05.2021 21:37:32;open for 60 ms
26.05.2021 21:41:40;open for 60 ms
26.05.2021 21:45:02;open for 60 ms
26.05.2021 21:49:21;open for 60 ms
26.05.2021 21:53:11;open for 60 ms
26.05.2021 21:56:55;open for 60 ms
26.05.2021 22:00:45;open for 60 ms
26.05.2021 22:04:54;open for 60 ms
26.05.2021 22:08:33;open for 60 ms
26.05.2021 22:12:31;open for 60 ms
26.05.2021 22:16:36;open for 60 ms
26.05.2021 22:20:08;open for 60 ms
26.05.2021 22:24:02;open for 60 ms
26.05.2021 22:27:53;open for 60 ms
26.05.2021 22:31:36;open for 60 ms
26.05.2021 22:36:13;open for 60 ms
26.05.2021 22:39:21;open for 60 ms
26.05.2021 22:43:25;open for 60 ms
26.05.2021 22:47:23;open for 60 ms
26.05.2021 22:51:31;open for 60 ms
26.05.2021 22:54:57;open for 60 ms
26.05.2021 22:58:47;open for 60 ms
26.05.2021 23:02:52;open for 60 ms
26.05.2021 23:06:32;open for 60 ms
26.05.2021 23:10:29;open for 60 ms
26.05.2021 23:14:23;open for 60 ms
26.05.2021 23:18:25;open for 60 ms
26.05.2021 23:21:43;open for 60 ms
26.05.2021 23:25:51;open for 60 ms
26.05.2021 23:29:34;open for 60 ms
26.05.2021 23:33:39;open for 60 ms
26.05.2021 23:37:41;open for 60 ms
26.05.2021 23:41:06;open for 60 ms
26.05.2021 23:45:03;open for 60 ms
26.05.2021 23:48:43;open for 60 ms
26.05.2021 23:52:34;open for 60 ms
26.05.2021 23:56:17;open for 60 ms
27.05.2021 00:00:22;open for 60 ms
27.05.2021 00:03:58;open for 60 ms
27.05.2021 00:07:34;open for 60 ms
27.05.2021 00:11:46;open for 60 ms
27.05.2021 00:15:25;open for 60 ms
27.05.2021 00:19:02;open for 60 ms
27.05.2021 00:23:10;open for 60 ms
27.05.2021 00:26:53;open for 60 ms
27.05.2021 00:30:51;open for 60 ms
27.05.2021 00:34:02;open for 60 ms
27.05.2021 00:37:41;open for 60 ms
27.05.2021 00:41:50;open for 60 ms
27.05.2021 00:45:37;open for 60 ms
27.05.2021 00:48:55;open for 60 ms
27.05.2021 00:52:56;open for 60 ms
27.05.2021 00:56:54;open for 60 ms
27.05.2021 01:00:19;open for 60 ms
27.05.2021 01:04:02;open for 60 ms
27.05.2021 01:07:45;open for 60 ms
27.05.2021 01:11:29;open for 60 ms
27.05.2021 01:15:16;open for 60 ms
27.05.2021 01:18:44;open for 60 ms
27.05.2021 01:22:42;open for 60 ms
27.05.2021 01:26:07;open for 60 ms
27.05.2021 01:30:05;open for 60 ms
27.05.2021 01:33:45;open for 60 ms
27.05.2021 01:37:24;open for 60 ms
27.05.2021 01:40:57;open for 60 ms
27.05.2021 01:44:40;open for 60 ms
27.05.2021 01:48:45;open for 60 ms
27.05.2021 01:52:17;open for 60 ms
27.05.2021 01:55:57;open for 60 ms
27.05.2021 01:59:22;open for 60 ms
27.05.2021 02:03:16;open for 60 ms
27.05.2021 02:06:49;open for 60 ms
27.05.2021 02:10:46;open for 60 ms
27.05.2021 02:14:08;open for 60 ms
27.05.2021 02:17:48;open for 60 ms
27.05.2021 02:21:31;open for 60 ms
27.05.2021 02:25:03;open for 60 ms
27.05.2021 02:28:57;open for 60 ms
27.05.2021 02:32:08;open for 60 ms
27.05.2021 02:35:51;open for 60 ms
27.05.2021 02:39:38;open for 60 ms
27.05.2021 02:43:14;open for 60 ms
27.05.2021 02:46:43;open for 60 ms
27.05.2021 02:50:23;open for 60 ms
27.05.2021 02:53:48;open for 60 ms
27.05.2021 02:57:46;open for 60 ms
27.05.2021 03:01:18;open for 60 ms
27.05.2021 03:04:47;open for 60 ms
27.05.2021 03:08:12;open for 60 ms
27.05.2021 03:12:06;open for 60 ms
27.05.2021 03:15:35;open for 60 ms
27.05.2021 03:19:08;open for 60 ms
27.05.2021 03:22:26;open for 60 ms
27.05.2021 03:26:13;open for 60 ms
27.05.2021 03:29:27;open for 60 ms
27.05.2021 03:33:28;open for 60 ms
27.05.2021 03:37:19;open for 60 ms
27.05.2021 03:40:40;open for 60 ms
27.05.2021 03:43:55;open for 60 ms
27.05.2021 03:48:11;open for 60 ms
27.05.2021 03:51:36;open for 60 ms
27.05.2021 03:55:12;open for 60 ms
27.05.2021 03:58:41;open for 60 ms
27.05.2021 04:02:10;open for 60 ms
27.05.2021 04:05:56;open for 60 ms
27.05.2021 04:09:43;open for 60 ms
27.05.2021 04:13:01;open for 60 ms
27.05.2021 04:16:27;open for 60 ms
27.05.2021 04:20:24;open for 60 ms
27.05.2021 04:23:42;open for 60 ms
27.05.2021 04:27:18;open for 60 ms
27.05.2021 04:31:02;open for 60 ms
27.05.2021 04:34:09;open for 60 ms
27.05.2021 04:38:06;open for 60 ms
27.05.2021 04:41:14;open for 60 ms
27.05.2021 04:45:22;open for 60 ms
27.05.2021 04:48:33;open for 60 ms
27.05.2021 04:52:09;open for 60 ms
27.05.2021 04:55:41;open for 60 ms
27.05.2021 04:59:21;open for 60 ms
27.05.2021 05:02:36;open for 60 ms
27.05.2021 05:06:26;open for 60 ms
27.05.2021 05:09:58;open for 60 ms
27.05.2021 05:13:24;open for 60 ms
27.05.2021 05:17:07;open for 60 ms
