Date;valve
23.06.2021 13:46:57;open for 20ms
23.06.2021 13:47:26;open for 20ms
23.06.2021 13:47:54;open for 20ms
23.06.2021 13:48:23;open for 20ms
23.06.2021 13:48:52;open for 20ms
23.06.2021 13:49:21;open for 20ms
23.06.2021 13:49:50;open for 20ms
23.06.2021 13:50:18;open for 20ms
23.06.2021 13:50:47;open for 20ms
23.06.2021 13:51:16;open for 20ms
23.06.2021 13:51:45;open for 20ms
23.06.2021 13:52:14;open for 20ms
23.06.2021 13:52:43;open for 20ms
23.06.2021 13:53:11;open for 20ms
23.06.2021 13:53:40;open for 20ms
23.06.2021 13:54:09;open for 20ms
23.06.2021 13:54:38;open for 20ms
23.06.2021 13:55:07;open for 20ms
23.06.2021 13:55:35;open for 20ms
23.06.2021 13:56:04;open for 20ms
23.06.2021 13:56:33;open for 20ms
23.06.2021 13:57:02;open for 20ms
23.06.2021 13:57:31;open for 20ms
23.06.2021 13:57:59;open for 20ms
23.06.2021 13:58:28;open for 20ms
23.06.2021 13:58:57;open for 20ms
23.06.2021 13:59:26;open for 20ms
23.06.2021 13:59:55;open for 20ms
23.06.2021 14:00:23;open for 20ms
23.06.2021 14:00:52;open for 20ms
23.06.2021 14:01:21;open for 20ms
23.06.2021 14:05:58;open for 20ms
23.06.2021 14:08:37;open for 20ms
23.06.2021 14:11:48;open for 20ms
23.06.2021 14:20:01;open for 20ms
23.06.2021 14:28:18;open for 20ms
23.06.2021 14:39:17;open for 20ms
23.06.2021 14:48:17;open for 20ms
23.06.2021 14:57:46;open for 20ms
23.06.2021 15:10:15;open for 20ms
23.06.2021 15:21:00;open for 20ms
23.06.2021 15:31:01;open for 20ms
23.06.2021 15:42:47;open for 20ms
23.06.2021 15:53:28;open for 20ms
23.06.2021 16:03:36;open for 20ms
23.06.2021 16:14:57;open for 20ms
23.06.2021 16:25:56;open for 20ms
23.06.2021 16:38:50;open for 20ms
23.06.2021 16:48:37;open for 20ms
